river_nr	x	y	river
1	557738	192327	rhine
1	557737	192342	rhine
1	557729	192360	rhine
1	557736	192367	rhine
1	557752	192375	rhine
1	557766	192381	rhine
1	557775	192400	rhine
1	557779	192417	rhine
1	557792	192443	rhine
1	557805	192464	rhine
1	557810	192469	rhine
1	557809	192483	rhine
1	557780	192484	rhine
1	557761	192493	rhine
1	557760	192496	rhine
1	557760	192499	rhine
1	557761	192505	rhine
1	557766	192509	rhine
1	557772	192514	rhine
1	557784	192518	rhine
1	557786	192526	rhine
1	557780	192533	rhine
1	557776	192534	rhine
1	557769	192540	rhine
1	557767	192548	rhine
1	557770	192559	rhine
1	557777	192574	rhine
1	557777	192578	rhine
1	557779	192582	rhine
1	557784	192592	rhine
1	557786	192596	rhine
1	557792	192616	rhine
1	557806	192636	rhine
1	557824	192647	rhine
1	557836	192649	rhine
1	557842	192650	rhine
1	557851	192654	rhine
1	557860	192657	rhine
1	557875	192661	rhine
1	557877	192663	rhine
1	557883	192667	rhine
1	557888	192668	rhine
1	557893	192677	rhine
1	557892	192681	rhine
1	557891	192691	rhine
1	557897	192696	rhine
1	557900	192696	rhine
1	557909	192699	rhine
1	557932	192697	rhine
1	557937	192698	rhine
1	557945	192696	rhine
1	557952	192703	rhine
1	557958	192704	rhine
1	557963	192713	rhine
1	557966	192716	rhine
1	557978	192730	rhine
1	557976	192740	rhine
1	557982	192745	rhine
1	557989	192747	rhine
1	557997	192748	rhine
1	558001	192747	rhine
1	558013	192744	rhine
1	558017	192746	rhine
1	558025	192747	rhine
1	558034	192756	rhine
1	558037	192765	rhine
1	558045	192771	rhine
1	558049	192774	rhine
1	558060	192778	rhine
1	558065	192779	rhine
1	558068	192785	rhine
1	558081	192789	rhine
1	558091	192790	rhine
1	558093	192789	rhine
1	558104	192791	rhine
1	558105	192793	rhine
1	558112	192798	rhine
1	558114	192799	rhine
1	558116	192806	rhine
1	558126	192816	rhine
1	558134	192817	rhine
1	558141	192822	rhine
1	558144	192828	rhine
1	558144	192835	rhine
1	558146	192837	rhine
1	558151	192844	rhine
1	558156	192846	rhine
1	558155	192849	rhine
1	558143	192850	rhine
1	558139	192854	rhine
1	558138	192856	rhine
1	558142	192859	rhine
1	558148	192860	rhine
1	558153	192861	rhine
1	558160	192860	rhine
1	558164	192862	rhine
1	558163	192865	rhine
1	558166	192870	rhine
1	558176	192874	rhine
1	558179	192880	rhine
1	558178	192884	rhine
1	558169	192892	rhine
1	558171	192899	rhine
1	558179	192903	rhine
1	558180	192906	rhine
1	558182	192921	rhine
1	558179	192932	rhine
1	558181	192941	rhine
1	558187	192948	rhine
