#BDM_EPT_DATA_VERSION_20150828														
#gives_all_records_of_macroinvertebrates_from_2009-2014														
sort_nr	year	locality	xkoord	ykoord	drainage	species	genus	family	order	class	IBCH_EPT	nr_ind		
2921	2009	719086	720014	86071	TICINO	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2959	2009	725126	725798	127000	TICINO	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
#2962	2009	725126	725798	127000	TICINO	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2979	2009	725174	725019	175000	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
3005	2009	725222	725782	220007	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
3041	2009	743222	743822	221990	RHEIN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
3069	2009	773142	773190	142000	INN	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2389	2009	551166	550962	166394	RHEIN	Baetis_fuscatus_Komplex	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2352	2009	539198	539500	198000	RHEIN	Baetis_liebenauae	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2390	2009	551166	550962	166394	RHEIN	Baetis_lutheri_Komplex	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2391	2009	551166	550962	166394	RHEIN	Baetis_melanonyx	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2549	2009	617214	617790	215000	RHEIN	Baetis_melanonyx	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2833	2009	707246	707000	246000	RHEIN	Baetis_melanonyx	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2922	2009	719086	720014	86071	TICINO	Baetis_melanonyx	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
3006	2009	725222	725782	220007	RHEIN	Baetis_melanonyx	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2325	2009	521174	520945	174582	RHEIN	Baetis_rhodani	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2353	2009	539198	539500	198000	RHEIN	Baetis_rhodani	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2392	2009	551166	550962	166394	RHEIN	Baetis_rhodani	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2496	2009	569110	569016	110347	RHONE	Baetis_rhodani	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
2444	2009	587207	587612	207000	RHEIN	Baetis_rhodani	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	1		
